DATE,POPTHM
2000-01-01,281083
2000-02-01,281299
2000-03-01,281531
2000-04-01,281763
2000-05-01,281996
2000-06-01,282247
2000-07-01,282504
2000-08-01,282769
2000-09-01,283033
2000-10-01,283285
2000-11-01,283523
2000-12-01,283748
2001-01-01,283960
2001-02-01,284166
2001-03-01,284380
2001-04-01,284602
2001-05-01,284834
2001-06-01,285076
2001-07-01,285324
2001-08-01,285584
2001-09-01,285842
2001-10-01,286086
2001-11-01,286315
2001-12-01,286533
2002-01-01,286739
2002-02-01,286935
2002-03-01,287131
2002-04-01,287343
2002-05-01,287571
2002-06-01,287808
2002-07-01,288051
2002-08-01,288303
2002-09-01,288554
2002-10-01,288794
2002-11-01,289012
2002-12-01,289214
2003-01-01,289412
2003-02-01,289606
2003-03-01,289809
2003-04-01,290024
2003-05-01,290250
2003-06-01,290484
2003-07-01,290726
2003-08-01,290974
2003-09-01,291222
2003-10-01,291463
2003-11-01,291677
2003-12-01,291868
2004-01-01,292046
2004-02-01,292230
2004-03-01,292434
2004-04-01,292651
2004-05-01,292872
2004-06-01,293103
2004-07-01,293350
2004-08-01,293603
2004-09-01,293857
2004-10-01,294104
2004-11-01,294337
2004-12-01,294561
2005-01-01,294768
2005-02-01,294955
2005-03-01,295149
2005-04-01,295359
2005-05-01,295582
2005-06-01,295824
2005-07-01,296077
2005-08-01,296338
2005-09-01,296606
2005-10-01,296857
2005-11-01,297089
2005-12-01,297311
2006-01-01,297526
2006-02-01,297734
2006-03-01,297950
2006-04-01,298170
2006-05-01,298401
2006-06-01,298653
2006-07-01,298910
2006-08-01,299178
2006-09-01,299452
2006-10-01,299710
2006-11-01,299950
2006-12-01,300178
2007-01-01,300398
2007-02-01,300608
2007-03-01,300823
2007-04-01,301045
2007-05-01,301278
2007-06-01,301528
2007-07-01,301790
2007-08-01,302064
2007-09-01,302334
2007-10-01,302590
2007-11-01,302834
2007-12-01,303062
2008-01-01,303280
2008-02-01,303494
2008-03-01,303707
2008-04-01,303926
2008-05-01,304157
2008-06-01,304396
2008-07-01,304646
2008-08-01,304903
2008-09-01,305158
2008-10-01,305403
2008-11-01,305620
2008-12-01,305827
2009-01-01,306035
2009-02-01,306237
2009-03-01,306438
2009-04-01,306645
2009-05-01,306863
2009-06-01,307090
2009-07-01,307322
2009-08-01,307570
2009-09-01,307826
2009-10-01,308071
2009-11-01,308289
2009-12-01,308495
2010-01-01,308706
2010-02-01,308904
2010-03-01,309095
2010-04-01,309279.0
2010-05-01,309457.0
2010-06-01,309643.0
2010-07-01,309847.0
2010-08-01,310060.0
2010-09-01,310280.0
2010-10-01,310488.0
2010-11-01,310677.0
2010-12-01,310858.0
2011-01-01,311023.0
2011-02-01,311173.0
2011-03-01,311333.0
2011-04-01,311502.0
2011-05-01,311678.0
2011-06-01,311872.0
2011-07-01,312077.0
2011-08-01,312292.0
2011-09-01,312509.0
2011-10-01,312708.0
2011-11-01,312889.0
2011-12-01,313064.0
2012-01-01,313227.0
2012-02-01,313383.0
2012-03-01,313546.0
2012-04-01,313710.0
2012-05-01,313883.0
2012-06-01,314072.0
2012-07-01,314272.0
2012-08-01,314489.0
2012-09-01,314703.0
2012-10-01,314905.0
2012-11-01,315092.0
2012-12-01,315258.0
2013-01-01,315400.0
2013-02-01,315535.0
2013-03-01,315682.0
2013-04-01,315841.0
2013-05-01,316016.0
2013-06-01,316202.0
2013-07-01,316405.0
2013-08-01,316627.0
2013-09-01,316846.0
2013-10-01,317055.0
2013-11-01,317248.0
2013-12-01,317429.0
2014-01-01,317598.0
2014-02-01,317758.0
2014-03-01,317924.0
2014-04-01,318098.0
2014-05-01,318284.0
2014-06-01,318479.0
2014-07-01,318692.0
2014-08-01,318921.0
2014-09-01,319149.0
2014-10-01,319367.0
2014-11-01,319561.0
2014-12-01,319742.0
2015-01-01,319904.0
2015-02-01,320053.0
2015-03-01,320215.0
2015-04-01,320390.0
2015-05-01,320574.0
2015-06-01,320769.0
2015-07-01,320982.0
2015-08-01,321205.0
2015-09-01,321428.0
2015-10-01,321641.0
2015-11-01,321834.0
2015-12-01,322020.0
2016-01-01,322196.0
2016-02-01,322353.0
2016-03-01,322513.0
2016-04-01,322685.0
2016-05-01,322867.0
2016-06-01,323061.0
2016-07-01,323265.0
2016-08-01,323473.0
2016-09-01,323680.0
2016-10-01,323876.0
2016-11-01,324052.0
2016-12-01,324216.0
2017-01-01,324362.0
2017-02-01,324494.0
2017-03-01,324632.0
2017-04-01,324783.0
2017-05-01,324944.0
2017-06-01,325117.0
2017-07-01,325296.0
2017-08-01,325476.0
2017-09-01,325653.0
2017-10-01,325820.0
2017-11-01,325968.0
2017-12-01,326100.0
2018-01-01,326216.0
2018-02-01,326323.0
2018-03-01,326437.0
2018-04-01,326563.0
2018-05-01,326699.0
2018-06-01,326847.0
2018-07-01,327005.0
2018-08-01,327167.0
2018-09-01,327328.0
2018-10-01,327477.0
2018-11-01,327607.0
2018-12-01,327722.0
2019-01-01,327824.0
2019-02-01,327921.0
2019-03-01,328025.0
2019-04-01,328140.0
2019-05-01,328267.0
2019-06-01,328404.0
2019-07-01,328561.0
2019-08-01,328730.0
2019-09-01,328897.0
2019-10-01,329054.0
2019-11-01,329191.0
2019-12-01,329314.0
2020-01-01,329423.0
2020-02-01,329527.0
2020-03-01,329638.0
2020-04-01,329760.0
2020-05-01,329894.0
2020-06-01,330038.0
2020-07-01,330199.0
2020-08-01,330368.0
2020-09-01,330535.0
2020-10-01,330692.0
2020-11-01,330829.0
2020-12-01,330983.0
2021-01-01,331132.0
