DATE,CSUSHPISA
2/1/2008,171.541
3/1/2008,170.053
4/1/2008,168.339
5/1/2008,166.661
6/1/2008,165.02
7/1/2008,163.571
8/1/2008,161.993
9/1/2008,160.311
10/1/2008,158.327
11/1/2008,156.14
12/1/2008,153.616
1/1/2009,151.504
2/1/2009,150.012
3/1/2009,148.659
4/1/2009,147.949
5/1/2009,147.695
6/1/2009,148.088
7/1/2009,148.407
8/1/2009,148.273
9/1/2009,148.02
10/1/2009,147.847
11/1/2009,148.134
12/1/2009,147.93
1/1/2010,147.394
2/1/2010,145.631
3/1/2010,145.858
4/1/2010,146.4
5/1/2010,146.39
6/1/2010,145.717
7/1/2010,144.986
8/1/2010,143.909
9/1/2010,143.012
10/1/2010,142.524
11/1/2010,142.17
12/1/2010,142.061
1/1/2011,141.527
2/1/2011,140.356
3/1/2011,139.985
4/1/2011,140.008
5/1/2011,139.9
6/1/2011,139.858
7/1/2011,139.727
8/1/2011,139.306
9/1/2011,138.666
10/1/2011,137.951
11/1/2011,137.152
12/1/2011,136.674
1/1/2012,136.607
2/1/2012,136.531
3/1/2012,137.905
4/1/2012,139.155
5/1/2012,140.155
6/1/2012,141.029
7/1/2012,141.668
8/1/2012,142.278
9/1/2012,142.908
10/1/2012,143.602
11/1/2012,144.587
12/1/2012,145.505
1/1/2013,146.84
2/1/2013,147.779
3/1/2013,149.962
4/1/2013,151.524
5/1/2013,152.86
6/1/2013,154.204
7/1/2013,155.611
8/1/2013,156.975
9/1/2013,158.234
10/1/2013,159.245
11/1/2013,160.074
12/1/2013,160.999
1/1/2014,161.962
2/1/2014,162.531
3/1/2014,163.101
4/1/2014,163.415
5/1/2014,163.683
6/1/2014,164.067
7/1/2014,164.576
8/1/2014,165.216
9/1/2014,165.91
10/1/2014,166.648
11/1/2014,167.342
12/1/2014,168.07
1/1/2015,168.699
2/1/2015,169.157
3/1/2015,169.838
4/1/2015,170.339
5/1/2015,170.914
6/1/2015,171.474
7/1/2015,172.126
8/1/2015,172.933
9/1/2015,173.836
10/1/2015,174.809
11/1/2015,175.76
12/1/2015,176.574
1/1/2016,177.337
2/1/2016,177.676
3/1/2016,178.22
4/1/2016,178.842
5/1/2016,179.5
6/1/2016,180.123
7/1/2016,180.854
8/1/2016,181.856
9/1/2016,182.836
10/1/2016,183.771
11/1/2016,184.772
12/1/2016,185.727
1/1/2017,186.851
2/1/2017,187.348
3/1/2017,188.107
4/1/2017,188.9
5/1/2017,189.789
6/1/2017,190.61
7/1/2017,191.494
8/1/2017,192.688
9/1/2017,193.766
10/1/2017,194.79
11/1/2017,195.907
12/1/2017,197.097
1/1/2018,198.265
2/1/2018,199.206
3/1/2018,200.155
4/1/2018,201.007
5/1/2018,201.781
6/1/2018,202.468
7/1/2018,203.001
8/1/2018,203.727
9/1/2018,204.334
10/1/2018,205.03
11/1/2018,205.534
12/1/2018,205.953
1/1/2019,206.367
2/1/2019,206.763
3/1/2019,207.404
4/1/2019,208.134
5/1/2019,208.772
6/1/2019,209.115
7/1/2019,209.5
8/1/2019,210.186
9/1/2019,210.879
10/1/2019,211.593
11/1/2019,212.509
12/1/2019,213.501
1/1/2020,214.552
2/1/2020,215.544
3/1/2020,216.79
4/1/2020,217.656
5/1/2020,217.872
6/1/2020,218.29
7/1/2020,219.65
8/1/2020,222.432
9/1/2020,225.608
10/1/2020,229.339
11/1/2020,232.673
12/1/2020,235.627
