DATE,BKFTTLA641N
2000-01-01,7
2001-01-01,4
2002-01-01,11
2003-01-01,3
2004-01-01,4
2005-01-01,0
2006-01-01,0
2007-01-01,3
2008-01-01,25
2009-01-01,140
2010-01-01,157
2011-01-01,92
2012-01-01,51
2013-01-01,24
2014-01-01,18
2015-01-01,8
2016-01-01,5
2017-01-01,8
2018-01-01,0
2019-01-01,4
2020-01-01,4
