DATE,RHEACBW027SBOG
2004-06-23,338.0625
2004-06-30,339.9198
2004-07-07,341.6023
2004-07-14,343.9223
2004-07-21,345.9327
2004-07-28,347.8228
2004-08-04,351.3275
2004-08-11,353.9791
2004-08-18,356.8242
2004-08-25,359.4676
2004-09-01,362.3211
2004-09-08,364.59
2004-09-15,367.3145
2004-09-22,370.1583
2004-09-29,373.0321
2004-10-06,375.8595
2004-10-13,377.5953
2004-10-20,383.4128
2004-10-27,385.6932
2004-11-03,386.5966
2004-11-10,388.0569
2004-11-17,388.9884
2004-11-24,389.7026
2004-12-01,392.6673
2004-12-08,394.1142
2004-12-15,394.6313
2004-12-22,394.9585
2004-12-29,396.6755
2005-01-05,400.3583
2005-01-12,401.2291
2005-01-19,402.226
2005-01-26,403.9884
2005-02-02,405.1353
2005-02-09,406.0575
2005-02-16,407.191
2005-02-23,410.6116
2005-03-02,411.0635
2005-03-09,413.5182
2005-03-16,414.8429
2005-03-23,416.56
2005-03-30,417.5564
2005-04-06,418.6742
2005-04-13,419.9432
2005-04-20,421.3214
2005-04-27,423.0096
2005-05-04,423.8881
2005-05-11,425.1127
2005-05-18,426.9501
2005-05-25,428.6323
2005-06-01,429.9652
2005-06-08,430.3695
2005-06-15,431.4694
2005-06-22,431.2581
2005-06-29,433.7653
2005-07-06,434.8404
2005-07-13,435.581
2005-07-20,438.0179
2005-07-27,438.2358
2005-08-03,439.5556
2005-08-10,440.1587
2005-08-17,441.0426
2005-08-24,441.3243
2005-08-31,442.073
2005-09-07,441.9359
2005-09-14,441.9358
2005-09-21,442.7174
2005-09-28,443.9056
2005-10-05,441.2086
2005-10-12,441.8838
2005-10-19,443.0061
2005-10-26,443.1448
2005-11-02,442.3429
2005-11-09,442.5209
2005-11-16,441.4413
2005-11-23,442.4155
2005-11-30,442.6681
2005-12-07,444.508
2005-12-14,443.7161
2005-12-21,442.7537
2005-12-28,443.5335
2006-01-04,442.003
2006-01-11,442.7421
2006-01-18,443.5284
2006-01-25,444.4704
2006-02-01,444.9775
2006-02-08,445.5431
2006-02-15,446.0828
2006-02-22,446.5347
2006-03-01,447.0624
2006-03-08,447.4299
2006-03-15,448.2619
2006-03-22,447.823
2006-03-29,448.883
2006-04-05,448.0085
2006-04-12,447.9139
2006-04-19,448.0934
2006-04-26,447.8151
2006-05-03,448.5129
2006-05-10,448.3252
2006-05-17,448.6296
2006-05-24,448.2998
2006-05-31,449.6353
2006-06-07,449.8743
2006-06-14,449.8817
2006-06-21,450.5419
2006-06-28,450.8632
2006-07-05,451.4549
2006-07-12,451.1683
2006-07-19,451.5309
2006-07-26,452.235
2006-08-02,450.617
2006-08-09,448.2634
2006-08-16,447.9749
2006-08-23,448.6096
2006-08-30,448.5224
2006-09-06,448.4661
2006-09-13,448.6926
2006-09-20,449.0636
2006-09-27,449.3777
2006-10-04,465.4484
2006-10-11,466.5117
2006-10-18,466.0192
2006-10-25,465.5388
2006-11-01,466.2748
2006-11-08,465.673
2006-11-15,466.1641
2006-11-22,464.867
2006-11-29,466.5102
2006-12-06,467.4921
2006-12-13,467.3898
2006-12-20,468.5262
2006-12-27,469.4145
2007-01-03,469.1684
2007-01-10,470.1152
2007-01-17,470.4269
2007-01-24,470.5813
2007-01-31,470.7874
2007-02-07,470.026
2007-02-14,470.9486
2007-02-21,471.058
2007-02-28,471.0665
2007-03-07,470.9501
2007-03-14,457.5915
2007-03-21,458.3692
2007-03-28,458.8609
2007-04-04,457.8288
2007-04-11,458.6473
2007-04-18,459.4558
2007-04-25,459.5072
2007-05-02,459.4467
2007-05-09,460.3363
2007-05-16,460.7332
2007-05-23,461.4703
2007-05-30,461.2939
2007-06-06,461.2757
2007-06-13,461.6708
2007-06-20,462.2825
2007-06-27,462.9839
2007-07-04,462.0735
2007-07-11,463.3556
2007-07-18,464.0799
2007-07-25,464.3303
2007-08-01,464.7204
2007-08-08,466.4081
2007-08-15,467.5357
2007-08-22,468.7141
2007-08-29,469.266
2007-09-05,470.5526
2007-09-12,471.2197
2007-09-19,472.2119
2007-09-26,472.3904
2007-10-03,473.6955
2007-10-10,475.0176
2007-10-17,477.1211
2007-10-24,478.104
2007-10-31,479.034
2007-11-07,480.1598
2007-11-14,481.179
2007-11-21,480.9724
2007-11-28,482.6426
2007-12-05,483.4808
2007-12-12,484.0046
2007-12-19,484.968
2007-12-26,485.49
2008-01-02,486.1771
2008-01-09,487.2494
2008-01-16,487.5898
2008-01-23,488.8178
2008-01-30,489.4737
2008-02-06,490.1139
2008-02-13,492.0937
2008-02-20,492.9197
2008-02-27,494.0191
2008-03-05,495.5238
2008-03-12,496.3261
2008-03-19,497.4379
2008-03-26,497.024
2008-04-02,498.5918
2008-04-09,500.5782
2008-04-16,502.343
2008-04-23,503.6829
2008-04-30,505.1631
2008-05-07,506.304
2008-05-14,507.3524
2008-05-21,508.0999
2008-05-28,509.4409
2008-06-04,510.6938
2008-06-11,511.7239
2008-06-18,512.8614
2008-06-25,516.0661
2008-07-02,518.4587
2008-07-09,519.7741
2008-07-16,520.59
2008-07-23,520.7571
2008-07-30,521.8681
2008-08-06,523.4215
2008-08-13,524.5095
2008-08-20,526.0454
2008-08-27,527.3528
2008-09-03,528.1486
2008-09-10,529.446
2008-09-17,531.0521
2008-09-24,532.1864
2008-10-01,574.1675
2008-10-08,576.6472
2008-10-15,577.9893
2008-10-22,578.5488
2008-10-29,579.1978
2008-11-05,580.5163
2008-11-12,581.2655
2008-11-19,582.6587
2008-11-26,585.0012
2008-12-03,586.4884
2008-12-10,587.5504
2008-12-17,587.8402
2008-12-24,588.7795
2008-12-31,589.6228
2009-01-07,591.568
2009-01-14,592.3167
2009-01-21,593.4756
2009-01-28,592.8221
2009-02-04,593.9933
2009-02-11,594.9218
2009-02-18,595.4304
2009-02-25,597.3864
2009-03-04,598.0847
2009-03-11,598.4301
2009-03-18,598.9594
2009-03-25,599.2464
2009-04-01,600.1587
2009-04-08,600.8214
2009-04-15,600.5923
2009-04-22,600.0243
2009-04-29,611.1272
2009-05-06,611.5288
2009-05-13,611.2001
2009-05-20,611.6183
2009-05-27,611.3115
2009-06-03,610.3549
2009-06-10,610.2688
2009-06-17,610.043
2009-06-24,609.1422
2009-07-01,608.7302
2009-07-08,608.3999
2009-07-15,607.5465
2009-07-22,607.0127
2009-07-29,606.659
2009-08-05,607.2254
2009-08-12,606.6362
2009-08-19,605.5069
2009-08-26,604.7901
2009-09-02,604.0663
2009-09-09,604.2328
2009-09-16,604.1124
2009-09-23,603.4061
2009-09-30,602.5278
2009-10-07,602.8239
2009-10-14,602.2849
2009-10-21,601.6771
2009-10-28,601.211
2009-11-04,606.6026
2009-11-11,606.3765
2009-11-18,606.0777
2009-11-25,605.1887
2009-12-02,604.5853
2009-12-09,604.2984
2009-12-16,603.4603
2009-12-23,602.7643
2009-12-30,602.0896
2010-01-06,601.0145
2010-01-13,600.3166
2010-01-20,599.6433
2010-01-27,599.2737
2010-02-03,599.5502
2010-02-10,599.6754
2010-02-17,599.3339
2010-02-24,598.8073
2010-03-03,597.8561
2010-03-10,597.8048
2010-03-17,597.5812
2010-03-24,597.8295
2010-03-31,603.9708
2010-04-07,602.7631
2010-04-14,602.5816
2010-04-21,601.7483
2010-04-28,601.1451
2010-05-05,600.2028
2010-05-12,599.9688
2010-05-19,599.479
2010-05-26,599.353
2010-06-02,598.3019
2010-06-09,598.2992
2010-06-16,597.4913
2010-06-23,596.5442
2010-06-30,596.9989
2010-07-07,597.0198
2010-07-14,596.3635
2010-07-21,596.5363
2010-07-28,595.9047
2010-08-04,595.2205
2010-08-11,595.0037
2010-08-18,594.8836
2010-08-25,594.3463
2010-09-01,593.3567
2010-09-08,592.6946
2010-09-15,591.7421
2010-09-22,591.2196
2010-09-29,590.8502
2010-10-06,590.4656
